Yoga-Asan,Description,Benefits,Level,Contraindication,Balancing posture,Instructions,Breathing,Source,Video link,Photo
Janusirsasana,"Janu sirsasana is an asymmetric forward bending pose that involves stretching and twisting together. It belongs to the primary Ashtanga yoga series.In Janu Sirsasana, ‘Janu‘ means ‘knee’, ‘Sirsa‘ refers to ‘head’, and asana means pose.","It calms the brain and eliminates mild depression, stretches the spine, liver, spleen, hamstrings, groins, and shoulders, stimulates the kidneys and liver, reduces pain in the waist and legs, helps to get rid of belly fat, improves digestion, relieves symptoms of menopause,effectively strengthens rib bones.","Janu Sirsasana, or Janu Sirsasana Head To Knee Pose, is a difficult pose for beginners to master, as it requires flexibility and strength in the back.","Never practice janusirsasana when you’re suffering from an upset stomach.Avoid it in case of asthma. Injury to the hips, knees, back, or shoulders is also a point of concern for practicing this asana. Pregnant women must avoid performing this asana.","Janu Sirsasana (Head-to-Knee Pose) is a full forward fold that offers a stretch from your ankle to your hips, along the full length of your back, and along the side-body as well. It can help calm your mind as well as stretch your body. As you fold forward, close your eyes and cultivate a sense of inner peace.","Begin with sitting in dandasana.Bring the sole of your right foot towards you by bending the knee.Let the heel of the right foot touch the perineum and the left leg remain stretched forward.Inhale, raise your hands overhead.","Once here, begin deep inhalation and exhalation, and with every exhalation take the torso forward, placing the forehead on the knee or beyond. Inhale: Raise the head up and exhale. Inhale: Bring the body up slowly with deep inhalation, raising the arms upwards.",,,https://drive.google.com/file/d/1HTs_6EIP1p7VFbzZToB7XUq33iXA_3MX/view?usp=sharing
Jathara Parivartanasana,"Also known as the two knee spinal twist pose, is restorative posture that encourages mobility and movement throughout the spine and entire back while improving digestion and stimulating self-esteem and confidence.","Helps keep oneself centered with awareness of the belly that includes the abs and core muscles, and maintaining balance with hip stability. The focus with this stretch is twisting the spine, back muscles, shoulders, chest, hips and neck.","The first Asana introduced to the beginners of Yoga is the Jathara Parivartanasana, popularly known as the Abdominal Twist Pose.","People with an injury of the hips, spine, shoulders, neck, knees, ankles, or rib cage should avoid the practice of this supine twist. Students recovering from an abdominal surgery, hip replacement surgery, suffering from a herniated disc, etc., should take care and avoid this practice.","The focus with this stretch is twisting the spine, back muscles, shoulders, chest, hips and neck. This stretch helps to relieve the body from stiffness and tightness, keeping the muscles of the back strong and flexible.","Gradually raise your feet off the floor so that shins lie parallel to the floor. Exhale lowering your knees with stacked feet to the right on the floors. Simultaneously, turn your neck and head to the left. Hold the pose with six slow and long breaths.","As you do so, don’t forget to incorporate deep breathing with each step. After the first leg, return to the beginning position and taking a second to catch your breath, continue with the next one.",,,https://drive.google.com/file/d/1PKGf5_HOEZ5LCoG6GeB5X0cCs_FNCZyY/view?usp=sharing
Kapotasana,Kapotasana or Pigeon Pose is a kneeling back-bending asana in modern yoga as exercise.,"Stretches the entire front of the body, the ankles, thighs and groins, bdomen and chest, and throat.Stretches the deep hip flexors (psoas)Strengthens back muscles.Improves posture.Stimulates the organs of the abdomen and neck.","Kapotasana is a difficult backbend. But, the level of difficulty depends on body type also. A few people have more flexible spine, they just need to build some strength through basic backbend asanas, shown here. Then its becomes easy.","Do not practice this pose if you’ve had recent surgery in the hips, knees, lower back, or abdomen.Pregnant women must refrain from this asana after the second trimester.People with Sacroiliitis or other sacroiliac issues must not try it.","kapotasana, literally, means a posture mimicking a pigeon. You'll get a sense of this if you sit with one leg bent and the other leg stretched straight out behind you. With your hands on the floor for balance, lift your spine upright and widen your chest.","Lie on your back and extend arms out in a “T” formation. Bring knees into chest, and then drop knees to one side and direct your gaze in the opposite direction. Take a few deep breaths, and then switch sides. This position will lengthen your spine and stretch your hips, so it's a relaxing follow-up to Pigeon.","Move your head back, and hold the pose for at least five breaths. Inhale again, and let your arms reach the floor.",,,https://drive.google.com/file/d/1h6lOxgLi1yKh9Ezz80n7kgOcymGMkbVG/view?usp=sharing
Karnapidasana,"Karnapidasana is made up from the combination of karna+pida+Asana, in which ‘Karna’ means Ear , ‘Pida’ means pain and Asana means to seat, pose or posture. ","Karnapidasana stretches and strengthens your back bone, gives strength to the lungs and beneficial for asthma patients, stimulates the abdominal organs, and thyroid gland, stretches the shoulders and spine,controls hypertension,reduce the symptoms of menopause.","Although this is a beginners' yoga pose, most yogis will find it difficult to fully place their knees onto the floor.","Practitioners with heart conditions should avoid or practice for a short period of time.In the case of Slipped disc, Sciatica, neck or spine injury, and asthma practitioners should avoid this asana as the concerning areas get influenced.People with the condition of herniated disk and those who have undergone surgery in the past few months avoid practice this asana.Pregnant women and during the menstrual cycle refrain from doing Karnapidasana.","This Karnapidasana yoga posture is a total expansion of the spine, permitting the therapeutic liquids to wash every vertebra. The length from the knees to the toes is parallel to the ground. The skull turns into the foundation of the stance and takes into account a tender stretch of the neck.","Begin in Plow Pose with the shoulders tucked under.Bend your knees and bring them to the floor on either side of your head.Rest the tops of your feet on the floor.Allow the knees to apply light pressure to the ears, momentarily cutting off aural distractions.",Take at least five breaths before releasing your arms and slowly rolling out of the pose vertebra by vertebra.,,,https://drive.google.com/file/d/1eCb59t5BTin7_Nz_XuAX7VUTozRk7ksy/view?usp=sharing
Koundinyasana,"Koundinyasana is an arm balance pose that challenges its practitioner’s mind and body at every single moment. This pose is dedicated to the sage Koundinya, which is why it is named so.","Builds muscles strength at the arms, shoulders, chest, abdomen, core, hips, spine and hamstrings, works well in activating the internal organs while strengthening the abdominal muscles. As this pose is dedicated to Sage Koundinya, the practitioner builds self confidence on his own body and mind.","Level: Advanced. Degree of Difficulty (100 being most difficult):
50","It could cause the hip to slip out of place, inflammation, or pain. Care should be taken while releasing from the posture. Since the weight of the body is not evenly distributed on the wrists and elbows, any jerk when coming out of this twisted arm balance can injure the wrists and shoulders.","From downward facing dog, inhale, lift the right leg up; exhale, knee to chest; inhale, back to three-legged dog; exhale, bring your right knee to your upper right arm, and—if you want—you can take it into eka pada koundinyasana.","Start with  Parsva Bakasana (twisted crane posture).Lean forward and bend your elbows 90 degrees, so that the biceps are parallen to the ground and the forearm perpendicular.Straighten your legs, the inner edges of the foot should be close together. Stay in the posture for as long is comfortable, and slowly comeback to the squatting position.","Take a deep inhale and then try to straighten both legs (left leg should be straightened perpendicular to the body and the right leg should be in one straight line with the body). Look straight in front of you.This is Eka Pada Kondinyasana, stay here for a few breaths.",,,https://drive.google.com/file/d/1e5C98kh5NRYY060Xwha2vJ9FJzfDLUiF/view?usp=sharing
Kraunchasana,"Krounchasana is a Sanskrit name, better understood by digging the root terms. Here, ‘krouncha‘ refers to ‘heron’, and ‘asana‘ is ‘pose,’ that explains its English name, i.e. heron pose.","Stretches your back, hips, and hamstrings. Stimulates your heart and abdominal organs. Therapeutic for flat feet and persistent gas (flatulence)",It is an advanced seating posture involving the elements of ardha virasana and Janu sirsasana.,If you have any serious knee or ankle problems or menstruation avoid the Ardha Virasana (Half Hero Pose) leg position in this pose unless you have the assistance of an experienced instructor.,"Koundinyasana is traditionally entered from tripod headstand, a variant of Sirsasana, but one can also get into the asana from Parsva Bakasana. The knee needs to be far enough up the triceps of the opposite arm before bending the elbows to engage the core muscles and help to prevent the leg from sliding down.","Place the right foot beside the right hip joint, so that the inner right calf touches the outer right thigh. Keep the knees together. Exhale, bend the left knee, and hold the left foot with hands. Stretch the leg up vertically, keeping the back erect breathing normally.",When you are in the final position and retain your breath (hold the position) around 30 to 60 seconds. Or it depends on your limit.,,,https://drive.google.com/file/d/1B4Unf1y46Ge-s-dg5-diE2H-0Duj2dT_/view?usp=sharing
Kukkutasana,"It belongs to the Padmasana Group and arm balancing category.It is one of the ancient yoga postures like Lotus Posture and Adept Posture.Furthermore, this posture has been a part of Kundalini and Tantra yoga practices.","Strengthens the entire body with the use of the muscles like; biceps and triceps, core muscles, gluteus, and pelvic floor muscles.Improves digestion and tones the abdominal muscles supporting the internal organs.",Kukkutasana is one of the advanced yoga postures. It belongs to the Padmasana Group and arm balancing category.,"Injury to the hips, knees, wrists, shoulders, and back is a contraindication, hence best to avoid the practice of Kukkutasana (Cock Pose). People with issues like Carpal Tunnel Syndrome, arthritis, blood pressure, spondylitis, etc., should avoid this practice.","The pose is entered from Padmasana (Lotus Position). The hands are threaded through behind the knees, and the weight of the body is supported by the hands pressed down on the floor, the arms straight.","Insert your hands between your calves and thighs, push your arms through the legs up to the elbows.Spread the fingers and place the palms firmly on the ground.Inhale and press the palm against the floor to lift your body off the ground.","Stay in the position for some time and keep on gently breathing in and breathing out. Ideally, you should try to stay for about 1 or 2 minutes in this position.As you release your body from this position, gradually come to original starting position while keeping the legs straight. Keep on breathing deeply as you relax your body.",,,https://drive.google.com/file/d/1J6OcGNzGo9bTT9VKrETcdOPIBucoOu7K/view?usp=sharing
Kurmasana,"The word Kurmasana is derived from the Sanskrit word ‘Kuram’, which means the tortoise. Therefore this posture is called tortoise yoga. By doing this asana, man is able to distance himself from mental problems exactly as a turtle hides in his armor upon the crisis.","Kurmasana lengthens your spine,relaxes your head, neck and shoulders. It is an effective remedy for all back disorders.The asana releases the tight knots in the lumbar and sacral regions of your body.The asana effectively opens up your shoulders and strengthens them.",Kurmasana is an advanced level of Ashtanga Yoga.,"Those suffering from sciatica and slipped disk should avoid this asana.Those having hernia and chronic arthritis should not do Kurmasana.
","Start in a seated position.Spread your legs further than shoulder-width apart.Put your arms in front of you, keeping them in-between your legs.Bend your torso slowly.Bring your chest and head forward, opening your shoulders as you draw your upper body closer to your lower body.","Feet as wide apart as possible. The knees are bent slightly, keeping the heels in contact with the floor. The body is leaned forward from the hips and the hands slid under the knees. The body leans forward (bending at the hips) to allow the hands and arms to slide sideways and backward (under the knees) until the elbows lie near the back of the knees. The heels are pushed forward and legs are straightened as much as possible. The forehead or chin is brought to touch the floor. The arms are further brought around the back to interlock the hands under the buttocks.","Inhaling, slightly bend the knees. >Exhaling fully, bend the upper body forward from the hips.Breathing normally hold this position. >Inhaling return to the starting position.",,,https://drive.google.com/file/d/1pvapXlKXfEsXFEzvgC6BNRUtk_ldQI-y/view?usp=sharing
Lolasana,"Lolasana or Pendant pose is a hand-balancing asana in modern yoga as exercise.The name comes from the Sanskrit words Lol meaning ""fickle"", ""trembling"", or ""dangling"" and Asana meaning ""posture"" or ""seat"".","Strengthens the arms, wrists and shoulders.Tones the abdominal muscles.Opens the chest.Generates control and balance.Improves concentration.","This pose, as it falls in the series of intermediate – advanced level Yoga poses.","Arm balance like Lolasana (Pendant Pose) challenges the core muscles, the shoulders, hips, wrists, pelvic muscles, and the entire back, hence any injury to any part of the body (muscles and joints) is a contraindication. Students who are recovering from a surgery should avoid this practice.",The practitioner kneels with ankles crossed over each other allowing the buttocks to rest in the cradle of the heels. Places hands besides folded legs and leans forward slowly to curve back and shoulder blades pressing the shoulders towards the floor. Raises legs off the ground holding in this pose for at least 20 seconds,"Sit in Padmasana.Place the palms on the floor besides the thighs.Separate the fingers equally.Inhale deeply.Raise the whole body from the floor, balancing only on the hands.Swing the body backward and forward between the arms.Lower the buttocks and legs to the ground.","Inhale fully when you are raising the arms and while returning to the upright position. Exhale forcefully through the mouth on each downward swing. While swinging up, slight inhalation will be a minor reflex action only, but the main object is to empty the lungs totally on the downward swing.",,,https://drive.google.com/file/d/1A9pKu77pzZSDpiStUl4g5K5ImvO5hJ3h/view?usp=sharing
Makarasana,"Crocodile pose — makarasana is a restorative or healing posture, and is an effective asana, while transitioning in between poses that work on back strengthening.","Makarasana offers deep relaxation for your shoulders and spine. It helps to cure knee pain and also addresses any lung-related issues including asthma. It helps in curing slip disc, spondylitis, and sciatica. The stretches help relax the hip muscles.",Crocodile Pose (Makarasana) is a beginner yoga pose that relaxes the whole body and helps relieve pain related to other yoga poses or other activities.,Pregnant women should avoid this pose: The pressure at the abdomen may not be safe and hence women who are deep into their pregnancy should avoid this pose.,"By lying on your stomach with your chest and shoulders rest, you let go of tension in the lower back and open up your chest and shoulders.",Lie down on the floor on your stomach with your hands folded under the head.Place the right palm over the left palm on the ground and place the head over the right palm in a relaxed way and close your eyes.Stretch the legs as far as possible. Relax the whole body.Relax in this posture for 2-5 minutes.,Stretch out your legs with the toes facing outwards. Feel your body touching the ground. Breathe normally and slowly and relax your muscles.,,,https://drive.google.com/file/d/1HFbYN7viCd0A5oQOSApConuUytfij7MM/view?usp=sharing
Malasana,"The name Malasana is from the Sanskrit mālā, a garland, necklace, or rosary; and āsana, ""seat"" or ""posture"". According to Iyengar, the name derives from the arms ""hanging from the neck like a garland"".","It will help stretches your hips and relax the lower back, glutes and hamstrings. Better blood circulation also helps keep your reproductive organs healthy. Helps tone the body: Malasana helps bring muscle tone in your glutes, tights and around your belly as it engages all the muscles concerned.",Level: Beginner,"People with recent or chronic lower back or knee pain, ligament tear at the knee or ankle, knee-arthritis, a weak bone density, severe sciatica, hip replacement surgery, or any other condition that can bring discomfort or pain should avoid this pose.","We can access it from a wide-legged tadasana. Turn your toes out, and slowly lower your hips down toward the Earth.As you find your hips lowering down toward the earth, keep your spine long. Allow your elbows to gently press on to the inner thighs or knees, and connect the palms of your hands together in Anjali mudra – prayer position. As you do so, lift your chest up toward your thumbs. ",Stand on the mat with your feet wide apart.Bend your knees and lower your butt to come into a squat position. Bend your elbows to bring the palms together and take your arms inside your knees to press your elbows against your inner knees.,"Inhale and go down from simple standing pose. Inhale and expand the chest and shoulders out. Exhale and relax.While holding on to the posture, take 3-5 long and deep breaths.Exhale and relax the chest and shoulders and release the posture.Take normal breaths while staying in shashank asana.",,,https://drive.google.com/file/d/14ylNB1HmUt6l_l0ZSdI2N-WYOcswadsI/view?usp=sharing
Mandukasana,"Mandukasana can be split into two words, i.e., “manduk” and “asana”. In Sanskrit, these words mean “frog” and “pose” respectively. This yoga pose is aptly named frog pose as your body resembles a frog when you practise it.","Prevent Diabetes, improve Digestive System, relieve stress and anxiety, strengthen the Back, Hips, Knees, and Ankles, improve Heart Health and Circulation,  reduce fat from belly, hips, and abdomen.","Frog pose, also known in Sanskrit as Mandukasana, is an intermediate to advanced level yoga pose that can open your hips and groin muscles, increase circulation, and improve your posture.","Women who are pregnant should completely avoid this pose, due to pressure at the lower abdomen.Any kind of ulcer in the body more so with peptic ulcers, one should avoid this pose.","Frog Pose, called Mandukasana in Sanskrit, is a yoga pose that targets your core, hips, and inner thighs. It's sometimes referred to as downward-facing frog, or Adho Mukha Mandukasana. Frog Pose often incorporates breathing and mindfulness practices.",Sit in Vajrasana pose.Place your right palm on your left palm; keep them on the navel.Now press your stomach inwards.Exhale and bend forward and keep looking straight.Hold your breath and position for some time.Slowly inhale and come back to starting Position.,"Look up to release from the pose, firstly with the head. Exhale completely and hold this position for two breaths. Inhale: Slowly inhale and expand the neck forward and then backwards along with the entire back. Exhale: Come back completely exhaling and sit in Vajrasana again.",,,https://drive.google.com/file/d/1B5kxM-uh2kiuuSkSO5O7SVIh0pGWzUEp/view?usp=sharing
Marichyasana,"This pose is pronounced as mar-ee-chee-asa-na. The Western name for Marichyasana C is Marichi's pose C. The name comes from the fact that it is named after the sage, Marichi. The Sanskrit meaning for his name is “ray of light.”","This pose stretches the shoulders, back, hamstrings, and hips. It is a great stretch for runners to help relieve tight hamstrings. It is also regarded as a calming pose and one that can help you with introspection.",Marichyasana or the Sage Twist Pose is considered as an intermediate level pose as it requires some flexibility of the hips and the lower back.,"Avoid if having any hamstring, shoulder or back injuries or hernia or any abdominal issue.",Marichyasana is a pose from the Ashtanga primary series. It is done about midway through the seated poses after the hips and hamstrings have been warmed up with Janu Sirsasana.,Sit in Dandasana (legs stretched forward with back straight).Inhale and bend your right knee towards your chest.Exhale and turn your upper body a bit to the left side.Bend your upper body forward so that your right shoulder presses against the inside of your right knee.,"Hold the posture and take 5-10 deep breaths.With each inhalation you can lengthen the spine, and with each exhalation you can twist a little more.",,,https://drive.google.com/file/d/1upa7uwjTVIhxj8mnPlJnNOray2VuVVuf/view?usp=sharing
Matsyasana,Matsyasana (Fish Pose) is done lying on the back. The posture resembles the floating pose as the lower part of the body is in the lotus position. Matsyasana is thus also called as the fish pose.,Stretches and stimulates the organs of your belly and throat. Strengthens your upper back and the back of your neck. Relieves stress and irritation. Improves posture.,Padmasana is beyond the capacity of most beginning people.,Individuals suffering from high or low blood pressure should avoid this posture. Neck injuries or any part of the lower back or middle back can make it difficult to practice this Fish Pose and hence should be avoided.,Stretches the deep hip flexors (psoas) and the muscles (intercostals) between the ribs. Stretches and stimulates the muscles of the belly and front of the neck. Stretches and stimulates the organs of the belly and throat.,"Sit in the staff pose (Dandasana).Now inhale and try to extend your spine by pressing your hands (on either side of your hips) gently on the floor.While inhaling, fold your knees and position your legs into Padmasana (Lotus Pose) or simply sit cross-legged.","Stay for 15 to 30 seconds, breathing smoothly. With an exhalation lower your torso and head to the floor. Draw your thighs up into your belly and squeeze.",,,https://drive.google.com/file/d/1eNcJiF9WkLdXXc8h8BNp3gRUdCEPEE4n/view?usp=sharing
Matsyendrasana,"Ardha matsyendrasana, a seated twist pose, is the ninth of the 12 basic poses in Hatha yoga. The name for this asana is derived from the Sanskrit, ardha, meaning ""half""; matsya, meaning ""fish""; indra, meaning ""king""; and asana, meaning ""pose."" To enter the pose, the yogi begins in dandasana (staff pose).",Helps in the agility of the spine.The poses and postures of this yoga elongate the spine.Restoration of the natural alignment of the spine.Releases the lower back muscles and provides relief from lower back pain.Aids in maintaining normal rotation of your spinal cord.,"Also known as Half Lord of the Fishes or Sitting Half Spinal Twist, it is a beginner level pose.","People suffering from severe back or neck pain should practice with caution, and with close supervision. Those with slip disc problems should avoid this pose completely.Those with internal organ issues may find this pose difficult and painful.","In this position there is a strong twist on the spine and abdomen. The right arm is pressed against the left knee and the left arm is wrapped behind the back, leading to an increased twist on the body. The chest is open and the spine is erect. One side of the abdomen is compressed and the other side is stretched. The right leg and knee remains on the floor. The left knee should be close to the right armpit.","You can place the right hand behind you, and the left hand on the right knee. Hold the pose for a few seconds, about 30 to 60 as you breathe slowly, yet deeply. Exhale and release the right hand, and then the waist, chest, and finally the neck. Relax as you sit straight.","Hold the pose for a few seconds, about 30 to 60 as you breathe slowly, yet deeply.Exhale and release the right hand, and then the waist, chest, and finally the neck. Relax as you sit straight.Repeat the steps on the other side, and then exhale and come back to the front.",,,https://drive.google.com/file/d/1_2oOyFAtITr4ye2OQ0q7hyUVgGE7ZBlb/view?usp=sharing
Durvasasana,"Durvasasana is an advanced standing balancing pose with one leg behind the neck; the hands are held together over the chest in prayer position.  As well as rating the pose of difficulty level 21 (out of 60), It is difficult to balance in the pose, and recommends using a support to begin with.  In Ashtanga Vinyasa Yoga, the breathing in the pose is stated to be either natural or ujjayi.","This pose is a part of Hatha yoga that improves mind-body coordination and offers great stretching of hips, back, calves etc. Besides this, it makes your body stronger and flexible. Here, we will discuss various
such benefits, steps and precautions for performing Durvasasana.","An advanced level hip-opening yoga posture, along with powerful pose mentally and physically.","You should avoid Durvasana, If you have any injuries in your hips, knees, neck, legs or back. Women must avoid the practice of this asana during their pregnancy and menstrual cycle. If you're suffering from severe headache, hernia or osteoporosis should avoid this posture. Avoid its practice if you've any recent surgery on your back or waist, spinal column ailments.","To improve balance practice this pose facing a wall. Press the big toe of the front foot against the wall and stretch your arms up, finger tips to the wall.",Press your palms on the floor and lift your hips and legs off the floor. Now bend your left knee and hook the left ankle with the right ankle. Extend both legs towards the right. Shift your weight ahead and bend your arms at the elbows while keeping your shoulders square.,You should breathe slowly and deeply as you hold this yoga asana.,2121 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,
Dwi Hasta Kulpa Janu Shirshasana,"A asana sometimes used in the Surya Namaskar sequence in modern yoga as exercise, where the body is balanced on eight points of contact with the floor: feet, knees, chest, chin and hands.","relieves depression, relieves anxiety,  relieves fatigue, improves posture improvement, recovery after sports, relieves lower back pain.",Difficult pose. Requires both strength and flexibility.,"severe lower back pain,  Injured knees, Pregnancy, Soulders injured, Neck injured.","Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs. On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground.","Start by lying down on your front. Inhale, come up onto the forearms so that you can lift your head and upper torso. Exhale, bend your right knee and bring the heel toward the right hip.Inhale, rotate your elbows toward the sky, so that your hands are over the top of the feet.",Your breathing must be deeper and rhythmic.,2122 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/15Vzsue6M7KcT3jGi7rz8bLIIp8RAw3KY/view?usp=sharing
Paripurna Matsyendrasana,"Matsyendra's Pose or Lord of the Fishes Pose, is a seated twisting asana in hatha yoga and modern yoga as exercise. The full form is the difficult Paripurna Matsyendrasana. A common and easier variant is Ardha Matsyendrasana. The asana usually appears as a seated spinal twist with many variations, and in its half form is one of the twelve basic asanas in many systems of hatha yoga.","Rejuvenates the spine
Improves spinal flexibility
Encourages detoxification
Improves digestion
Relaxes the mind",It is a mid-level balance posture.,Avoid this pose if you have a knee or back injury.,"The palms or the fingertips should be rested on the ground either side of the body. The upper-body should be extending upward through the crown of the head, and the back should be completely perpendicular to the ground .","Begin in half lotus pose with the right foot resting on top of the left thigh.
Bend the left knee toward the chest. Exhale and twist to the left. Grab hold of the right foot with the left hand.
Twist deeper with an exhale and hold the left foot with the right hand.
Breathe while holding the pose.",While taking Legs up towards the ceiling- Inhale. Doing the Pose- Breathe normally. Coming out of the pose (Bringing the leg down)- Inhale.,2123 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1kllPehpgntnu7WegxIqLrpbYKGq2eake/view?usp=sharing
Marichyasana,"An asana in which the performer of the asana assumes the pose of an inverted tree, he stands on his hands. Therefore this asana is called Adho Mukha Vrksasana i.e. Tilted Tree Pose or Handstand Pose. ","High Blood Pressure, anxiety,  relieves fatigue, improves posture improvement, recovery after sports, relieves lower back pain","A beginner posture that goes along with Cow Pose. Typically, the Yogi will perform them in conjunction with each other.","Wrist injuries and recent surgeries, carpal tunnel syndrome, slipped discs, along with other spinal issues, pregnancy",It is an arm supported asana in which the base of support are the palms of the hands. It requires both balance and strength to maintain.,Press your palms on the floor and lift your hips and legs off the floor. Now bend your left knee and hook the left ankle with the right ankle. Extend both legs towards the right. Shift your weight ahead and bend your arms at the elbows while keeping your shoulders square.,While performing this pose the breath is held outside and the breathing is stopped for few seconds.,2124 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1CwpofQtBHuWd8pXQ3pBxUvyQ8L0GSZrc/view?usp=sharing
Ardha Mula Matsyendrasana,A reclining back-bending asana in hatha yoga and modern yoga as exercise.It is commonly performed in a cycle of asanas in Surya Namaskar.,"relieves lower back tightness, relieves lower back pain",A beginner level eight-limbed pose,"if you are suffering from Diarrhea, you should avoid Balasana.a high blood pressure patient should avoid this asana.If you are having a recent or deep injury in your feet, knees, thighs, spine or neck, do not perform it at all.",Keep your gaze focused at one point to balance. Draw your belly toward your spine. Reach your tailbone toward your heels. Keep your shoulder blades lifted as you come out of the pose.,"Place your knees hip-width apart and inhale. Now bend forward and exhale as you lay your torso between your thighs and swing your hands forward. Hold this position for 2-3 minutes. At last, breathe-in slowly and return to the starting position.",normal breathing.,2125 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1zDXLHbcwAN76yj2JsmFaKBY7GP69Shvi/view?usp=sharing
Adho Mukha Shvanasana,"A seated asana in hatha yoga and modern yoga as exercise. If the knees rest on the floor, it is suitable as a meditation seat","High Blood Pressure, anxiety,  relieves fatigue, improves posture improvement, recovery after sports, relieves lower back pain","Estorative pose for experienced practitioners, but can be hard work for beginners","Avoid it while recovering from a recent surgery around the shoulders, spine, arms, or hips.People with a herniated disk or lower back issues must avoid this asana.Women during pregnancy and menstruation must avoid this pose.",Keep your gaze focused at one point to balance. Draw your belly toward your spine. Reach your tailbone toward your heels. Keep your shoulder blades lifted as you come out of the pose.,Sit on the floor. Stretch your legs out in front of you.Bend forward and stretch your arms to hold your toes.Keep your torso as erect as you can.Inhale. Bring your left foot up to your left ear.Keep your hold on the other leg.Maintain the posture.Repeat the movement on the other side.,Your breathing must be deeper and rhythmic.,2126 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1Xk7t9d7N_n7Y97gFkiMzp3zhq82GUkKG/view?usp=sharing
Urdhva Mukha Shvanasana,"This name comes from the Sanskrit root. Supta, meaning “reclined”; Bhairava, meaning “formidable,” “frightful”.","anxiety,  relieves fatigue, improves posture improvement, recovery after sports, relieves lower back pain","Advanced level, generally performed in many athletic activities, including acro dance, cheerleading, circus, yoga, calisthenics, and gymnastics","Wrist injuries and recent surgeries, carpal tunnel syndrome, slipped discs, along with other spinal issues, pregnancy","A variation on vasisthasana, or side plank, with one leg behind the head. It's a powerful pose mentally as well as physically because it requires opening and expansion in a challenging place, which can go against the natural tendency to want to shrink from difficulty.","Come into a high plank by positioning your wrists directly under your shoulders and maintaining a slight bend in your elbows.On an exhale, bend your elbows and lower your shoulders so they're at the same height as your elbows.Tightly squeeze your elbows in toward your body.",normal breathing.,2127 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1yetX_dB_F4mshxYmWPLRY1Gv143BdMqj/view?usp=sharing
Chamatkarasana,A reclining back-bending asana in hatha yoga and modern yoga as exercise.It is commonly performed in a cycle of asanas in Surya Namaskar.,"High Blood Pressure, anxiety,  relieves fatigue, improves posture improvement, recovery after sports, relieves lower back pain.","An advanced level hip-opening yoga posture, along with powerful pose mentally and physically.","Wrist injuries and recent surgeries, carpal tunnel syndrome, slipped discs, along with other spinal issues, pregnancy","Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs. On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground.",Place your palms flat on the ground directly under your shoulders. Bend your elbows straight back and hug them into your sides.Pause for a moment looking straight down at your mat with your neck in a neutral position.Inhale to lift your chest off the floor.Keep your neck neutral.,You should breathe slowly and deeply as you hold this yoga asana.,2128 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1yxEwmrgpAFb8WOtkN1-l4R5uv_jExuy2/view?usp=sharing
